,cwa_determination,da_number,district,longitude,latitude,potential_wetland,county,state
28,1,LRB-2008-00768,Buffalo,-77.43205,42.99684,0,Ontario,36.0
29,0,LRB-2008-00809,Buffalo,-81.38834,41.50517,1,Geauga,39.0
30,0,LRB-2008-00987,Buffalo,-78.36731,43.22025,1,Orleans,36.0
31,0,LRB-2009-00630,Buffalo,-74.98471,43.02963,1,Herkimer,36.0
32,0,LRB-2009-01161,Buffalo,-76.52632,42.4276,1,Tompkins,36.0
33,0,LRB-2009-01524,Buffalo,-81.62623,41.23809,1,Summit,39.0
34,0,LRB-2010-00927,Buffalo,-81.71643,41.21807,0,Medina,39.0
35,0,LRB-2010-01504,Buffalo,-84.18132,40.53924,1,Auglaize,39.0
36,1,LRB-2010-01519,Buffalo,-77.58614,43.10595,1,Monroe,36.0
37,1,LRB-2010-01556,Buffalo,-78.74169,42.65533,0,Erie,36.0
38,1,LRB-2010-01656,Buffalo,-77.60502,43.1207,1,Monroe,36.0
39,1,LRB-2010-01696,Buffalo,-83.00096,41.53933,1,Ottawa,39.0
40,0,LRB-2011-00230,Buffalo,-78.00524,43.11659,1,Genesee,36.0
41,1,LRB-2011-00919,Buffalo,-81.42031,41.43092,0,Cuyahoga,39.0
42,1,LRB-2012-00081,Buffalo,-81.40235,41.49991,0,Cuyahoga,39.0
43,1,LRB-2012-00241,Buffalo,-75.88407,42.9751,0,Madison,36.0
44,1,LRB-2012-00668,Buffalo,-82.00476,41.43851,1,Lorain,39.0
45,0,LRB-2012-00837,Buffalo,-81.48932,41.20447,1,Summit,39.0
46,0,LRB-2012-00897,Buffalo,-81.49392,41.20362,1,Summit,39.0
47,0,LRB-2012-00990,Buffalo,-81.94744,41.49318,0,Cuyahoga,39.0
48,0,LRB-2012-01239,Buffalo,-76.80139,42.3379,1,Schuyler,36.0
49,0,LRB-2012-01399,Buffalo,-81.93684,41.46934,1,Cuyahoga,39.0
50,1,LRB-2012-01483,Buffalo,-78.89428,43.1971,1,Niagara,36.0
51,1,LRB-2013-00206,Buffalo,-81.37787,41.33542,1,Portage,39.0
52,0,LRB-2013-00260,Buffalo,-81.27417,41.25482,0,Portage,39.0
53,1,LRB-2013-00313,Buffalo,-83.30672,41.67524,0,Lucas,39.0
54,1,LRB-2013-00494,Buffalo,-78.81783,42.6745,0,Erie,36.0
55,1,LRB-2013-00762,Buffalo,-75.95992,42.39672,0,Broome,36.0
56,1,LRB-2013-00791,Buffalo,-78.98265,43.13072,1,Niagara,36.0
57,1,LRB-2013-00821,Buffalo,-78.65533,42.80265,1,Erie,36.0
58,1,LRB-2013-01010,Buffalo,-81.54879,41.57596,0,Cuyahoga,39.0
59,1,LRB-2013-01216,Buffalo,-83.47635,41.67217,1,Lucas,39.0
60,0,LRB-2013-01325,Buffalo,-77.40773,42.70848,1,Ontario,36.0
61,1,LRB-2014-00066,Buffalo,-81.48594,41.45472,0,Cuyahoga,39.0
62,0,LRB-2014-00921,Buffalo,-77.36328,43.22733,1,Wayne,36.0
63,1,LRB-2014-00940,Buffalo,-78.94762,43.12908,1,Niagara,36.0
64,1,LRB-2014-00966,Buffalo,-78.87799,43.08609,1,Niagara,36.0
65,1,LRB-2014-01033,Buffalo,-78.98562,43.20504,1,Niagara,36.0
66,1,LRB-2014-01078,Buffalo,-77.73957,43.21445,1,Monroe,36.0
67,0,LRB-2014-01116,Buffalo,-77.35286,42.97702,1,Ontario,36.0
68,1,LRB-2014-01137,Buffalo,-77.72328,43.09207,1,Monroe,36.0
69,0,LRB-2014-01198,Buffalo,-81.5228,41.17406,1,Summit,39.0
70,1,LRB-2014-01300,Buffalo,-78.68022,42.94691,1,Erie,36.0
71,1,LRB-2014-01350,Buffalo,-81.2775,41.69572,1,Lake,39.0
72,1,LRB-2014-01383,Buffalo,-83.57179,41.71316,1,Lucas,39.0
73,0,LRB-2015-00037,Buffalo,-76.3705,43.16649,1,Onondaga,36.0
74,1,LRB-2015-00348,Buffalo,-81.23843,41.64285,0,Lake,39.0
75,1,LRB-2015-00439,Buffalo,-79.35898,42.40023,0,Chautauqua,36.0
76,1,LRB-2015-00446,Buffalo,-78.98367,42.99531,1,Erie,36.0
77,1,LRB-2015-00455,Buffalo,-77.39664,43.2076,1,Monroe,36.0
78,1,LRB-2015-00476,Buffalo,-76.49029,42.36756,0,Tompkins,36.0
79,0,LRB-2015-00485,Buffalo,-83.5959,41.07753,1,Hancock,39.0
80,1,LRB-2015-00515,Buffalo,-78.73853,43.00364,0,Erie,36.0
81,1,LRB-2015-00588,Buffalo,-76.31144,42.0643,1,Tioga,36.0
82,1,LRB-2015-00609,Buffalo,-77.09819,42.54829,0,Yates,36.0
83,0,LRB-2015-00637,Buffalo,-83.54435,41.61602,1,Wood,39.0
84,1,LRB-2015-00671,Buffalo,-78.6741,42.98456,1,Erie,36.0
85,1,LRB-2015-00678,Buffalo,-75.68268,43.36352,0,Oneida,36.0
86,1,LRB-2015-00703,Buffalo,-78.63096,42.8725,1,Erie,36.0
87,1,LRB-2015-00714,Buffalo,-78.97986,43.03823,1,Erie,36.0
88,1,LRB-2015-00728,Buffalo,-80.96417,41.85606,0,Ashtabula,39.0
89,1,LRB-2015-00750,Buffalo,-77.15617,42.50423,0,Steuben,36.0
90,0,LRB-2015-00789,Buffalo,-84.54607,41.68553,1,Williams,39.0
91,1,LRB-2015-00830,Buffalo,-78.01719,42.92696,1,Genesee,36.0
92,0,LRB-2015-00834,Buffalo,-76.29515,43.15608,1,Onondaga,36.0
93,1,LRB-2015-00838,Buffalo,-75.86424,42.94904,0,Madison,36.0
94,1,LRB-2015-00839,Buffalo,-77.31528,42.78071,0,Ontario,36.0
95,0,LRB-2015-00847,Buffalo,-78.69796,43.00872,1,Erie,36.0
96,1,LRB-2015-00865,Buffalo,-82.60109,41.26663,1,Huron,39.0
97,1,LRB-2015-00873,Buffalo,-77.15945,42.46758,0,Steuben,36.0
98,1,LRB-2015-00882,Buffalo,-78.18554,42.38407,1,Allegany,36.0
99,1,LRB-2015-00883,Buffalo,-78.18558,42.38395,0,Allegany,36.0
100,1,LRB-2015-00884,Buffalo,-78.18562,42.38391,0,Allegany,36.0
101,1,LRB-2015-00900,Buffalo,-80.91018,41.34824,0,Trumbull,39.0
102,0,LRB-2015-00928,Buffalo,-78.86977,42.72001,1,Erie,36.0
103,1,LRB-2015-00931,Buffalo,-78.73978,42.79437,1,Erie,36.0
104,1,LRB-2015-00935,Buffalo,-77.19938,42.42592,0,Steuben,36.0
105,0,LRB-2015-00941,Buffalo,-81.55408,41.4259,1,Cuyahoga,39.0
106,1,LRB-2015-00960,Buffalo,-81.40242,41.60048,0,Lake,39.0
107,0,LRB-2015-00962,Buffalo,-82.71011,41.03501,1,Huron,39.0
108,1,LRB-2015-00978,Buffalo,-81.36637,41.33494,1,Portage,39.0
109,0,LRB-2015-01037,Buffalo,-78.78515,42.90237,1,Erie,36.0
110,1,LRB-2015-01054,Buffalo,-81.68356,41.31231,0,Cuyahoga,39.0
111,1,LRB-2015-01058,Buffalo,-77.70881,42.72733,0,Livingston,36.0
112,1,LRB-2015-01076,Buffalo,-82.00983,41.46623,0,Lorain,39.0
113,0,LRB-2015-01117,Buffalo,-78.96601,42.70817,1,Erie,36.0
114,1,LRB-2015-01127,Buffalo,-77.25596,42.85549,0,Ontario,36.0
115,1,LRB-2015-01132,Buffalo,-77.19192,43.05071,1,Wayne,36.0
116,1,LRB-2015-01133,Buffalo,-76.29698,42.88579,0,Onondaga,36.0
117,0,LRB-2015-01141,Buffalo,-81.33101,41.69343,0,Lake,39.0
118,1,LRB-2015-01161,Buffalo,-78.93488,43.08636,1,Niagara,36.0
119,0,LRB-2015-01162,Buffalo,-76.06711,43.10625,1,Onondaga,36.0
120,0,LRB-2015-01169,Buffalo,-78.8249,42.76659,1,Erie,36.0
121,0,LRB-2015-01182,Buffalo,-75.96191,43.7692,1,Jefferson,36.0
122,1,LRB-2015-01186,Buffalo,-82.06356,41.44111,1,Lorain,39.0
123,1,LRB-2015-01187,Buffalo,-83.63253,41.04182,0,Hancock,39.0
124,1,LRB-2015-01188,Buffalo,-83.79465,41.11339,1,Hancock,39.0
125,1,LRB-2015-01217,Buffalo,-82.65285,41.43318,1,Erie,39.0
126,1,LRB-2015-01224,Buffalo,-84.07737,40.73008,0,Allen,39.0
127,1,LRB-2015-01225,Buffalo,-81.96564,41.42181,0,Cuyahoga,39.0
128,1,LRB-2015-01231,Buffalo,-83.53201,41.6396,1,Lucas,39.0
129,1,LRB-2015-01241,Buffalo,-78.47549,42.43126,1,Cattaraugus,36.0
130,1,LRB-2015-01242,Buffalo,-77.81382,43.05332,0,Monroe,36.0
131,1,LRB-2015-01254,Buffalo,-78.78878,43.15464,0,Niagara,36.0
132,1,LRB-2015-01260,Buffalo,-81.93902,41.48622,0,Cuyahoga,39.0
133,1,LRB-2015-01271,Buffalo,-79.03341,42.65213,1,Erie,36.0
134,1,LRB-2015-01290,Buffalo,-81.36469,41.33796,0,Portage,39.0
135,1,LRB-2015-01320,Buffalo,-77.08603,42.88672,0,Ontario,36.0
136,1,LRB-2015-01338,Buffalo,-76.30021,42.5566,0,Tompkins,36.0
137,1,LRB-2015-01344,Buffalo,-78.03225,42.68314,0,Wyoming,36.0
138,1,LRB-2015-01357,Buffalo,-77.26457,42.80143,0,Ontario,36.0
139,1,LRB-2015-01367,Buffalo,-77.36462,42.69379,0,Ontario,36.0
140,1,LRB-2016-00021,Buffalo,-78.78191,42.73637,1,Erie,36.0
141,1,LRB-2016-00037,Buffalo,-77.21746,42.41254,0,Steuben,36.0
142,1,LRB-2016-00057,Buffalo,-83.1958,41.62353,0,Lucas,39.0
143,1,LRB-2016-00071,Buffalo,-83.69389,41.05672,0,Hancock,39.0
144,1,LRB-2016-00072,Buffalo,-83.78836,41.04593,1,Hancock,39.0
145,0,LRB-2016-00076,Buffalo,-77.73534,43.16348,1,Monroe,36.0
146,1,LRB-2016-00077,Buffalo,-77.15394,42.55664,0,Steuben,36.0
147,1,LRB-2016-00121,Buffalo,-74.6708,44.1098,1,St. Lawrence,36.0
148,1,LRB-2016-00132,Buffalo,-78.02932,42.71024,0,Wyoming,36.0
149,1,LRB-2016-00136,Buffalo,-78.02939,42.71007,0,Wyoming,36.0
150,1,LRB-2016-00164,Buffalo,-81.37057,41.01907,0,Portage,39.0
151,1,LRB-2016-00173,Buffalo,-77.55665,43.08936,1,Monroe,36.0
152,1,LRB-2016-00177,Buffalo,-78.88433,42.66487,1,Erie,36.0
153,1,LRB-2016-00190,Buffalo,-75.19191,44.8731,0,St. Lawrence,36.0
154,1,LRB-2016-00221,Buffalo,-78.39904,43.01704,0,Genesee,36.0
155,1,LRB-2016-00235,Buffalo,-77.09568,42.56044,0,Yates,36.0
156,0,LRB-2016-00248,Buffalo,-76.48666,43.46484,1,Oswego,36.0
157,1,LRB-2016-00249,Buffalo,-81.3883,41.38506,0,Geauga,39.0
158,1,LRB-2016-00251,Buffalo,-78.72442,43.17044,0,Niagara,36.0
159,1,LRB-2016-00256,Buffalo,-76.56162,42.37125,1,Tompkins,36.0
160,1,LRB-2016-00265,Buffalo,-75.93814,44.35303,0,Jefferson,36.0
161,1,LRB-2016-00274,Buffalo,-83.78555,41.64745,0,Lucas,39.0
162,0,LRB-2016-00276,Buffalo,-83.75319,41.47646,1,Lucas,39.0
163,1,LRB-2016-00284,Buffalo,-78.2849,42.25258,0,Allegany,36.0
164,0,LRB-2016-00296,Buffalo,-81.28543,41.24878,0,Portage,39.0
165,1,LRB-2016-00299,Buffalo,-83.10214,41.58689,1,Ottawa,39.0
166,1,LRB-2016-00322,Buffalo,-81.60104,41.49462,0,Cuyahoga,39.0
167,1,LRB-2016-00329,Buffalo,-83.8247,41.65797,0,Lucas,39.0
168,1,LRB-2016-00350,Buffalo,-77.24685,42.88587,1,Ontario,36.0
169,0,LRB-2016-00409,Buffalo,-76.23292,42.55551,1,Cortland,36.0
170,0,LRB-2016-00439,Buffalo,-78.98213,43.04116,1,Erie,36.0
171,1,LRB-2016-00467,Buffalo,-84.16089,40.69363,1,Allen,39.0
172,1,LRB-2016-00471,Buffalo,-83.26086,41.56703,0,Ottawa,39.0
173,1,LRB-2016-00472,Buffalo,-77.50917,42.78794,1,Ontario,36.0
174,1,LRB-2016-00500,Buffalo,-84.28014,41.29204,1,Defiance,39.0
175,1,LRB-2016-00514,Buffalo,-75.3187,44.1539,0,Lewis,36.0
176,1,LRB-2016-00515,Buffalo,-75.2362,44.1668,0,St. Lawrence,36.0
177,1,LRB-2016-00520,Buffalo,-84.29996,41.28597,1,Defiance,39.0
178,0,LRB-2016-00539,Buffalo,-78.80149,43.00403,1,Erie,36.0
179,1,LRB-2016-00551,Buffalo,-81.61293,41.50796,0,Cuyahoga,39.0
180,1,LRB-2016-00564,Buffalo,-78.64328,43.00321,1,Erie,36.0
181,1,LRB-2016-00565,Buffalo,-77.73495,43.21743,0,Monroe,36.0
182,0,LRB-2016-00581,Buffalo,-81.53749,41.1207,0,Summit,39.0
183,0,LRB-2016-00593,Buffalo,-83.47318,41.71142,1,Lucas,39.0
184,1,LRB-2016-00643,Buffalo,-83.83361,41.25528,0,Wood,39.0
185,1,LRB-2016-00646,Buffalo,-78.16658,43.25506,0,Orleans,36.0
186,1,LRB-2016-00792,Buffalo,-78.73382,42.83358,1,Erie,36.0
187,0,LRB-2016-00798,Buffalo,-83.81965,41.6216,1,Lucas,39.0
188,0,LRB-2016-00805,Buffalo,-77.71176,42.84588,1,Livingston,36.0
189,1,LRB-2016-00809,Buffalo,-76.30968,42.06584,0,Tioga,36.0
190,1,LRB-2016-00836,Buffalo,-76.22379,42.1206,0,Tioga,36.0
191,0,LRB-2016-00844,Buffalo,-81.4522,41.11468,1,Summit,39.0
192,0,LRB-2016-00862,Buffalo,-78.78082,42.69371,1,Erie,36.0
193,1,LRB-2016-00885,Buffalo,-84.27626,41.26589,0,Defiance,39.0
194,1,LRB-2016-00886,Buffalo,-84.27749,41.26296,0,Defiance,39.0
195,1,LRB-2016-00887,Buffalo,-84.28078,41.26102,0,Defiance,39.0
196,1,LRB-2016-00907,Buffalo,-79.01418,43.19407,1,Niagara,36.0
197,1,LRB-2016-00915,Buffalo,-77.27911,43.22481,1,Wayne,36.0
198,0,LRB-2016-00916,Buffalo,-76.19833,43.1494,1,Onondaga,36.0
199,0,LRB-2016-00929,Buffalo,-76.55707,43.02488,1,Cayuga,36.0
200,1,LRB-2016-00937,Buffalo,-78.95,42.716,0,Erie,36.0
201,0,LRB-2016-00961,Buffalo,-83.74686,41.50722,1,Lucas,39.0
202,0,LRB-2016-00963,Buffalo,-83.57163,41.5553,1,Wood,39.0
203,0,LRB-2016-00982,Buffalo,-82.22343,41.41356,1,Lorain,39.0
204,1,LRB-2016-01025,Buffalo,-78.79559,42.82017,1,Erie,36.0
205,1,LRB-2016-01026,Buffalo,-78.78062,42.99194,1,Erie,36.0
206,1,LRB-2016-01027,Buffalo,-77.24716,42.88829,1,Ontario,36.0
207,1,LRB-2016-01048,Buffalo,-78.80823,42.77189,1,Erie,36.0
208,1,LRB-2016-01058,Buffalo,-81.9864,41.49618,1,Lorain,39.0
209,0,LRB-2016-01082,Buffalo,-76.6765,42.0946,1,Chemung,36.0
210,1,LRB-2016-01154,Buffalo,-78.70619,42.95226,0,Erie,36.0
211,0,LRB-2016-01169,Buffalo,-76.65207,42.45607,1,Tompkins,36.0
212,0,LRB-2016-01176,Buffalo,-81.32463,41.13594,1,Portage,39.0
213,1,LRB-2016-01182,Buffalo,-75.93823,43.97753,0,Jefferson,36.0
214,1,LRB-2016-01188,Buffalo,-76.38336,42.88438,0,Onondaga,36.0
215,1,LRB-2016-01228,Buffalo,-78.77289,43.00715,0,Erie,36.0
216,1,LRB-2016-01232,Buffalo,-76.38424,42.88567,0,Onondaga,36.0
217,1,LRB-2016-01260,Buffalo,-78.98322,43.03705,1,Erie,36.0
218,1,LRB-2016-01309,Buffalo,-81.40375,41.5177,0,Cuyahoga,39.0
219,1,LRB-2016-01312,Buffalo,-83.16898,40.77084,0,Wyandot,39.0
220,0,LRB-2016-01313,Buffalo,-81.46919,41.49306,1,Cuyahoga,39.0
221,1,LRB-2016-01321,Buffalo,-81.46235,41.61554,0,Lake,39.0
222,1,LRB-2016-01337,Buffalo,-78.69823,43.01825,1,Erie,36.0
223,1,LRB-2016-01365,Buffalo,-82.03633,41.36895,1,Lorain,39.0
224,1,LRB-2016-01383,Buffalo,-78.72333,42.98233,1,Erie,36.0
225,1,LRB-2016-01384,Buffalo,-79.01259,43.16273,1,Niagara,36.0
226,0,LRB-2016-01400,Buffalo,-81.91273,41.48663,0,Cuyahoga,39.0
227,0,LRB-2016-01405,Buffalo,-75.14993,43.19404,1,Oneida,36.0
228,0,LRB-2016-01413,Buffalo,-76.18899,43.13763,1,Onondaga,36.0
229,0,LRB-2016-01511,Buffalo,-83.9466,40.76314,1,Allen,39.0
230,0,LRB-2017-00132,Buffalo,-82.21169,41.4215,1,Lorain,39.0
231,0,LRB-2017-00139,Buffalo,-81.5017,41.4398,0,Cuyahoga,39.0
232,0,LRB-2017-00212,Buffalo,-78.14298,43.37494,0,Orleans,36.0
233,0,LRB-2017-00219,Buffalo,-75.69917,43.08944,1,Madison,36.0
234,1,LRB-2017-00243,Buffalo,-82.26036,41.11485,1,Lorain,39.0
235,0,LRB-2017-00267,Buffalo,-75.41387,43.30789,0,Oneida,36.0
236,1,LRB-2017-00298,Buffalo,-77.34947,43.2292,1,Wayne,36.0
237,1,LRB-2017-00331,Buffalo,-76.31064,43.1765,0,Onondaga,36.0
238,0,LRB-2017-00387,Buffalo,-78.81836,43.03671,1,Erie,36.0
239,0,LRB-2017-00396,Buffalo,-81.68518,41.40648,0,Cuyahoga,39.0
240,1,LRB-2017-00432,Buffalo,-83.72031,41.62495,1,Lucas,39.0
241,1,LRB-2017-00435,Buffalo,-79.3228,42.46974,1,Chautauqua,36.0
242,0,LRB-2017-00447,Buffalo,-84.12198,40.69031,1,Allen,39.0
243,0,LRB-2017-00449,Buffalo,-76.00449,43.99682,1,Jefferson,36.0
244,1,LRB-2017-00505,Buffalo,-82.58576,41.39666,1,Erie,39.0
245,0,LRB-2017-00543,Buffalo,-77.91109,43.20976,0,Monroe,36.0
246,1,LRB-2017-00576,Buffalo,-78.73415,42.84914,1,Erie,36.0
247,0,LRB-2017-00607,Buffalo,-75.09185,43.03888,1,Herkimer,36.0
248,0,LRB-2017-00636,Buffalo,-81.98838,41.37899,1,Lorain,39.0
249,0,LRB-2017-00639,Buffalo,-77.67048,43.06587,1,Monroe,36.0
250,0,LRB-2017-00704,Buffalo,-83.31277,41.53496,1,Ottawa,39.0
251,0,LRB-2017-00709,Buffalo,-82.02228,41.40392,0,Lorain,39.0
252,1,LRB-2017-00783,Buffalo,-77.35111,42.96098,1,Ontario,36.0
253,1,LRB-2017-00804,Buffalo,-77.35292,42.97308,1,Ontario,36.0
254,0,LRB-2017-00819,Buffalo,-81.94265,41.38862,1,Cuyahoga,39.0
255,0,LRB-2017-00829,Buffalo,-75.46098,43.20325,1,Oneida,36.0
256,0,LRB-2017-00837,Buffalo,-81.98954,41.37287,1,Lorain,39.0
257,0,LRB-2017-00872,Buffalo,-78.041,43.2221,1,Orleans,36.0
258,1,LRB-2017-00902,Buffalo,-78.94243,42.47639,1,Erie,36.0
259,0,LRB-2017-00927,Buffalo,-76.66151,42.53553,1,Tompkins,36.0
260,0,LRB-2017-00947,Buffalo,-78.17258,43.24535,1,Orleans,36.0
261,0,LRB-2017-00953,Buffalo,-81.77781,41.36184,0,Cuyahoga,39.0
262,0,LRB-2017-00981,Buffalo,-77.6897,43.0769,1,Monroe,36.0
263,0,LRB-2017-01038,Buffalo,-78.85793,42.74991,1,Erie,36.0
264,1,LRB-2017-01065,Buffalo,-76.81468,42.175,1,Chemung,36.0
265,0,LRB-2017-01100,Buffalo,-75.23794,42.96738,1,Oneida,36.0
266,0,LRB-2017-01117,Buffalo,-77.62972,43.0705,1,Monroe,36.0
267,1,LRB-2017-01145,Buffalo,-78.41145,42.96025,1,Genesee,36.0
268,1,LRB-2017-01408,Buffalo,-83.65066,41.19365,0,Wood,39.0
269,0,LRB-2017-01420,Buffalo,-75.23912,42.96657,1,Oneida,36.0
270,0,LRB-2018-00143,Buffalo,-83.5254,41.6116,1,Wood,39.0
271,0,LRB-2018-00180,Buffalo,-80.85402,41.85236,1,Ashtabula,39.0
272,0,LRB-2018-00309,Buffalo,-83.8025,41.5131,0,Lucas,39.0
273,0,LRB-2018-00324,Buffalo,-76.45,42.73087,0,Cayuga,36.0
274,0,LRB-2018-00568,Buffalo,-75.97585,43.09642,0,Madison,36.0
275,0,LRB-2018-00595,Buffalo,-81.26963,41.74517,1,Lake,39.0
276,0,LRB-2018-00680,Buffalo,-75.3975,42.8762,0,Oneida,36.0
277,0,LRB-2018-00829,Buffalo,-75.69462,44.44899,0,St. Lawrence,36.0
278,0,LRB-2019-01163,Buffalo,-76.05881,43.1002,1,Onondaga,36.0
279,0,LRB-2019-01296,Buffalo,-78.692,43.0895,1,Niagara,36.0
280,0,LRB-2020-00097,Buffalo,-76.35353,43.14349,1,Onondaga,36.0
281,0,LRB-2020-00187,Buffalo,-77.87288,42.98544,0,Livingston,36.0
282,0,LRB-2020-00188,Buffalo,-77.87524,42.98863,0,Livingston,36.0
283,0,LRB-2020-00296,Buffalo,-76.22577,42.08539,1,Tioga,36.0
284,1,LRB-2020-00412,Buffalo,-77.51803,42.98742,1,Monroe,36.0
285,0,LRB-2020-00443,Buffalo,-81.19465,41.47134,1,Geauga,39.0
286,0,LRB-2020-00450,Buffalo,-77.98755,43.18415,0,Monroe,36.0
287,0,LRB-2020-00522,Buffalo,-81.31268,41.71118,0,Lake,39.0
288,0,LRB-2020-00571,Buffalo,-81.35758,41.28726,0,Portage,39.0
289,1,LRC-2000-20891,Chicago,-87.78312,42.12292,0,Cook,17.0
290,0,LRC-2003-12270,Chicago,-88.49522,41.74013,1,Kane,17.0
291,1,LRC-2003-22227,Chicago,-88.60689,42.39369,0,McHenry,17.0
292,1,LRC-2004-22513,Chicago,-88.00759,41.48937,0,Will,17.0
293,1,LRC-2004-22750,Chicago,-88.4073,42.07879,1,Kane,17.0
294,1,LRC-2005-13219,Chicago,-88.34753,41.86114,1,Kane,17.0
295,1,LRC-2005-23204,Chicago,-88.17125,41.58894,1,Will,17.0
296,0,LRC-2006-01008,Chicago,-88.22388,42.33277,1,McHenry,17.0
297,1,LRC-2006-01217,Chicago,-88.3046,41.79953,1,Kane,17.0
298,0,LRC-2006-01350,Chicago,-88.08273,41.99348,1,Cook,17.0
299,0,LRC-2007-00460,Chicago,-88.29214,41.86262,1,Kane,17.0
300,1,LRC-2007-00808,Chicago,-88.44221,42.13399,1,Kane,17.0
301,0,LRC-2008-00098,Chicago,-88.19283,41.4479,1,Will,17.0
302,0,LRC-2008-00575,Chicago,-88.38995,41.73785,1,Kane,17.0
303,1,LRC-2008-00612,Chicago,-88.13129,42.07441,1,Cook,17.0
304,1,LRC-2009-00071,Chicago,-88.13288,41.25092,0,Will,17.0
305,0,LRC-2009-00126,Chicago,-88.23855,41.79746,1,DuPage,17.0
306,1,LRC-2009-00550,Chicago,-88.29604,41.73953,0,Kane,17.0
307,1,LRC-2009-00552,Chicago,-88.47109,42.09406,0,Kane,17.0
308,0,LRC-2009-00660,Chicago,-88.26699,41.87298,1,Kane,17.0
309,1,LRC-2010-00394,Chicago,-88.22098,41.27294,0,Will,17.0
310,1,LRC-2010-00518,Chicago,-87.88432,42.47754,1,Lake,17.0
311,0,LRC-2011-00802,Chicago,-87.55295,41.63336,1,Cook,17.0
312,1,LRC-2012-00060,Chicago,-88.34094,42.03969,0,Kane,17.0
313,0,LRC-2012-00278,Chicago,-87.93989,41.73168,1,DuPage,17.0
314,1,LRC-2012-00566,Chicago,-87.92079,41.5101,1,Will,17.0
315,1,LRC-2012-00698,Chicago,-87.94169,42.00225,1,Cook,17.0
316,0,LRC-2012-00801,Chicago,-87.74183,42.00753,1,Cook,17.0
317,1,LRC-2013-00161,Chicago,-87.69678,41.94973,0,Cook,17.0
318,1,LRC-2013-00437,Chicago,-88.03336,42.0143,0,Cook,17.0
319,1,LRC-2014-00157,Chicago,-88.0644,41.66484,0,Will,17.0
320,0,LRC-2014-00193,Chicago,-87.98989,42.15705,1,Lake,17.0
321,1,LRC-2014-00262,Chicago,-88.48439,42.01306,1,Kane,17.0
322,1,LRC-2014-00402,Chicago,-88.159,41.477,1,Will,17.0
323,1,LRC-2014-00409,Chicago,-87.72585,41.97591,0,Cook,17.0
324,1,LRC-2014-00455,Chicago,-87.87727,42.11995,0,Cook,17.0
325,1,LRC-2014-00490,Chicago,-88.11584,41.60646,0,Will,17.0
326,0,LRC-2014-00544,Chicago,-88.52908,42.164,1,McHenry,17.0
327,1,LRC-2014-00735,Chicago,-87.86856,41.6305,1,Cook,17.0
328,1,LRC-2014-00775,Chicago,-88.26705,41.83921,1,Kane,17.0
329,1,LRC-2015-00034,Chicago,-87.95045,41.65007,1,Cook,17.0
330,1,LRC-2015-00123,Chicago,-88.11878,41.7369,0,DuPage,17.0
331,1,LRC-2015-00306,Chicago,-88.10976,42.19927,0,Lake,17.0
332,1,LRC-2015-00322,Chicago,-87.7434,41.4351,1,Will,17.0
