,Unnamed: 0,Unnamed: 0.1,jurisdiction_type,da_number,district,project_name,longitude,latitude,date_issued_or_denied,rha_determination,cwa_determination,rha1,rha2,cwa1,cwa2,cwa3,cwa4,cwa5,cwa6,cwa7,cwa8,cwa9,potential_wetland,index,Index,mukey,hydclprs,aws025wta,drclassdcd,nhd_vars_wb,nhd_vars_fl,fl_comids,fl_ftype,fl_gnis_count,fl_length,fl_comid_list,fl_areasqkm,fl_totdasqkm,fl_flow_type
1510,1510,1510,RAPANOS,LRL-2017-00934-sjk,Louisville,County Road 100 South reconstruction - Avon,-86.35966000000002,39.74878,02/07/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1511,1511,161479.0,95.0,5.24,Poorly drained,"([], '', 0, 0, 0)","([18476805], 'StreamRiver+', 1, nan, 5.101)",18476805,StreamRiver+,1,5.101,[18476805],8.2053,8.2053,1.0
1511,1511,1511,RAPANOS,LRL-2017-00938-SCM,Louisville,"Tipmont REMC, Linden Substation Rebuild, Montgomery Co.",-86.91355,40.20058,01/26/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,1512,163012.0,100.0,5.5,Poorly drained,"([], '', 0, 0, 0)","([10205017, 10205009, 10205085], 'StreamRiver+StreamRiver+StreamRiver+', 0, nan, 8.068999999999999)",10205017 10205009 10205085,StreamRiver+StreamRiver+StreamRiver+,0,8.068999999999999,"[10205017, 10205009, 10205085]",17.6481,22.5981,3.0
1512,1512,1512,RAPANOS,LRL-2017-00939-SCM,Louisville,"Pre-App & Approved JD Request_Grand Park Lot #5, Westfield, Hamilton County",-86.15357,40.06412,01/18/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1513,1513,3186656.0,2.0,5.26,Somewhat poorly drained,"([], '', 0, 0, 0)","([18475263, 18475299], 'StreamRiver+StreamRiver+', 1, nan, 5.146)",18475263 18475299,StreamRiver+StreamRiver+,1,5.146,"[18475263, 18475299]",8.0694,8.0694,2.0
1513,1513,1513,RAPANOS,LRL-2017-00940-sjk,Louisville,SW Ronald Regan and Old National Road development site - Ambrose,-86.33965999999998,39.72252,11/17/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1514,1514,3105177.0,40.0,5.5,,"([18476019], 'LakePond+', 1, 0.014, nan)","([], '', 0, 0, 0)",,,0,0.0,[],0.0,0.0,0.0
1514,1514,1514,RAPANOS,LRL-2017-00957-sam,Louisville,Unauthroized Activity - Hard Truth Hills,-86.23772,39.20772,10/04/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515,1515,535583.0,0.0,4.5,Well drained,"([], '', 0, 0, 0)","([18444090, 18443860, 18443858], 'StreamRiver+StreamRiver+StreamRiver+', 3, nan, 13.775)",18444090 18443860 18443858,StreamRiver+StreamRiver+StreamRiver+,3,13.775,"[18444090, 18443860, 18443858]",21.545099999999998,399.08610000000004,3.0
1515,1515,1515,RAPANOS,LRL-2017-00962,Louisville,Ashtree Units 5-6 Residential Development,-84.51602,37.94491,12/11/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1516,1516,551883.0,0.0,4.5,Well drained,"([], '', 0, 0, 0)","([1826956], 'StreamRiver+', 1, nan, 2.994)",1826956,StreamRiver+,1,2.994,[1826956],4.689,4.689,1.0
1516,1516,1516,RAPANOS,LRL-2017-00975-LCL,Louisville,JD - Foxfire Den Apartments - Phase II - Monarch Management & Realty,-86.86716,40.36483,02/27/2018,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1517,1517,164238.0,100.0,6.0,Poorly drained,"([], '', 0, 0, 0)","([10205065], 'CanalDitch+', 0, nan, 10.171)",10205065,CanalDitch+,0,10.171,[10205065],,,0.0
1517,1517,1517,RAPANOS,LRL-2017-00994-sam,Louisville,Cale Unauthorized Investigation,-85.35187000000002,40.43805,01/01/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1518,1518,2567847.0,0.0,3.97,Moderately well drained,"([18503685, 18503675], 'LakePond+LakePond+', 0, 0.032, nan)","([18503839], 'StreamRiver+', 1, nan, 10.93)",18503839,StreamRiver+,1,10.93,[18503839],35.1,35.1,1.0
1518,1518,1518,RAPANOS,LRL-2017-01035-LCL,Louisville,JD - Double S Farm - Dillterra,-86.98211999999998,40.26734,12/06/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1519,1519,163953.0,100.0,5.75,Poorly drained,"([], '', 0, 0, 0)","([10205069, 10204967, 10204975], 'CanalDitch+CanalDitch+StreamRiver+', 0, nan, 11.024000000000001)",10205069 10204967 10204975,CanalDitch+CanalDitch+StreamRiver+,0,11.024000000000001,"[10205069, 10204967, 10204975]",30.136499999999998,74.03580000000001,3.0
1519,1519,1519,RAPANOS,LRL-2017-01036-LCL,Louisville,JD - Simison Family Trust - Dillterra,-86.98276,40.27448,11/15/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1520,1520,164254.0,0.0,0.0,Well drained,"([], '', 0, 0, 0)","([10205069, 10204967, 10204975], 'CanalDitch+CanalDitch+StreamRiver+', 0, nan, 11.024000000000001)",10205069 10204967 10204975,CanalDitch+CanalDitch+StreamRiver+,0,11.024000000000001,"[10205069, 10204967, 10204975]",30.136499999999998,74.03580000000001,3.0
1520,1520,1520,RAPANOS,LRL-2017-01057-LCL,Louisville,JD - Maple Trails - Arbor Homes - Madison County,-85.80086999999997,39.98422,01/08/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1521,1521,162067.0,4.0,5.25,Moderately well drained,"([], '', 0, 0, 0)","([18475659], 'StreamRiver+', 1, nan, 3.251)",18475659,StreamRiver+,1,3.251,[18475659],5.544,40.941,1.0
1521,1521,1521,RAPANOS,LRL-2017-01086-sjk,Louisville,Approved JD: Quemetco wastewater lagoons ,-86.30091999999998,39.75361,01/18/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1522,1522,3104674.0,65.0,4.32,Poorly drained,"([], '', 0, 0, 0)","([18476801], 'StreamRiver+', 1, nan, 9.431)",18476801,StreamRiver+,1,9.431,[18476801],23.2992,36.7416,1.0
1522,1522,1522,RAPANOS,LRL-2017-01091-SCM,Louisville,"Approved JD Request, Monrovia Town Park Wetland, Morgan County",-86.48309,39.58117,03/29/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1523,1523,163227.0,5.0,5.15,Moderately well drained,"([], '', 0, 0, 0)","([], '', 0, 0, 0)",,,0,0.0,[],0.0,0.0,0.0
1523,1523,1523,RAPANOS,LRL-2017-01101-LCL,Louisville,Holliday Farms Zionsville Residential Golf Community - Henke Development,-86.26609000000002,39.98368,01/29/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1524,1524,695382.0,5.0,5.33,Moderately well drained,"([], '', 0, 0, 0)","([18476311, 18476297, 18476299], 'StreamRiver+StreamRiver+StreamRiver+', 2, nan, 5.101)",18476311 18476297 18476299,StreamRiver+StreamRiver+StreamRiver+,2,5.101,"[18476311, 18476297, 18476299]",13.8906,367.9389,3.0
1524,1524,1524,RAPANOS,LRL-2017-01102-sjk,Louisville,"Approved JD: 9700 Michigan Road, Belle Tire",-86.23101,39.92755,01/17/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1525,1525,3105084.0,40.0,5.5,,"([18475837, 18475833], 'LakePond+LakePond+', 0, 0.103, nan)","([18476335, 18476841, 18476349], 'StreamRiver+ArtificialPath+StreamRiver+', 3, nan, 5.497)",18476335 18476841 18476349,StreamRiver+ArtificialPath+StreamRiver+,3,5.497,"[18476335, 18476841, 18476349]",9.484200000000001,14.366700000000002,3.0
1525,1525,1525,RAPANOS,LRL-2017-01109,Louisville,Cloverbrook Farms Section 7,-85.22399999999998,38.19245,12/05/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1526,1526,551660.0,0.0,4.84,Well drained,"([10263550], 'LakePond+', 0, 0.037, nan)","([10264514], 'StreamRiver+', 1, nan, 16.6)",10264514,StreamRiver+,1,16.6,[10264514],38.0529,160.3836,1.0
1526,1526,1526,RAPANOS,LRL-2017-01114-sjk,Louisville,Approved JD: Midwest Industrial Park Phase I - Wayne County,-84.94914,39.85658,08/20/2018,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1527,1527,249143.0,95.0,5.24,Poorly drained,"([3921317], 'LakePond+', 0, 0.047, nan)","([3921829, 3921889], 'StreamRiver+StreamRiver+', 0, nan, 9.265)",3921829 3921889,StreamRiver+StreamRiver+,0,9.265,"[3921829, 3921889]",17.3367,22.0302,2.0
1527,1527,1527,RAPANOS,LRL-2017-01116,Louisville,Adams Property,-84.38776999999997,37.99625,01/03/2018,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1528,1528,1398867.0,0.0,4.84,Well drained,"([1826680], 'LakePond+', 0, 0.019, nan)","([1825374, 1826834], 'StreamRiver+StreamRiver+', 2, nan, 3.55)",1825374 1826834,StreamRiver+StreamRiver+,2,3.55,"[1825374, 1826834]",7.8939,9.441,2.0
1528,1528,1528,RAPANOS,LRL-2017-01119,Louisville,Kleinert Property Residential Development,-85.45139,38.25433,01/05/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1529,1529,1536715.0,0.0,0.0,,"([], '', 0, 0, 0)","([10263884, 10264502, 10264500], 'StreamRiver+StreamRiver+StreamRiver+', 3, nan, 12.185)",10263884 10264502 10264500,StreamRiver+StreamRiver+StreamRiver+,3,12.185,"[10263884, 10264502, 10264500]",15.2874,243.49859999999998,3.0
1529,1529,1529,RAPANOS,LRL-2017-01136-SCM,Louisville,"Approved JD Request, Kokomo Site,  Oakmont Development, Howard County",-86.15009000000002,40.43273,03/15/2018,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1530,1530,161476.0,4.0,5.44,Somewhat poorly drained,"([20097217, 20097215], 'LakePond+LakePond+', 0, 0.07100000000000001, nan)","([20097513, 20097663, 20098037, 20098035, 20097685], 'StreamRiver+StreamRiver+ArtificialPath+ArtificialPath+StreamRiver+', 5, nan, 17.997)",20097513 20097663 20098037 20098035 20097685,StreamRiver+StreamRiver+ArtificialPath+ArtificialPath+StreamRiver+,5,17.997,"[20097513, 20097663, 20098037, 20098035, 20097685]",36.0666,117.99539999999999,5.0
1530,1530,1530,RAPANOS,LRL-2017-01138-LCL,Louisville,JD - Westpoint Business Park - Building 1,-86.47443,39.6235,03/14/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1531,1531,161480.0,2.0,5.26,Somewhat poorly drained,"([], '', 0, 0, 0)","([], '', 0, 0, 0)",,,0,0.0,[],0.0,0.0,0.0
1531,1531,1531,RAPANOS,LRL-2017-01148-MKD,Louisville,United Dairy Farmers Property,-84.85706999999998,39.21981,02/20/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1532,1532,1600649.0,95.0,5.26,Poorly drained,"([3404375], 'LakePond+', 0, 0.016, nan)","([3924451, 3405093], 'StreamRiver+StreamRiver+', 2, nan, 5.099)",3924451 3405093,StreamRiver+StreamRiver+,2,5.099,"[3924451, 3405093]",5.2353,5.2353,2.0
1532,1532,1532,RAPANOS,LRL-2017-01168-sjk,Louisville,"Approved JD - 2405 East 99th Street, Carmel - Sigma Capital",-86.11991999999998,39.93349,03/22/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1533,1533,3105085.0,65.0,4.32,Poorly drained,"([18475827], 'LakePond+', 0, 0.027, nan)","([18476327, 18476341], 'StreamRiver+StreamRiver+', 0, nan, 8.962)",18476327 18476341,StreamRiver+StreamRiver+,0,8.962,"[18476327, 18476341]",21.1023,32.780699999999996,2.0
1533,1533,1533,RAPANOS,LRL-2017-01169-sjk,Louisville,"Approved JD - Maxson-Stokely Property, CalAtlantic Homes",-86.35263,39.97286,04/06/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1534,1534,678690.0,95.0,5.24,Poorly drained,"([], '', 0, 0, 0)","([18476781], 'StreamRiver+', 1, nan, 21.262)",18476781,StreamRiver+,1,21.262,[18476781],43.2405,53.8632,1.0
1534,1534,1534,RAPANOS,LRL-2017-01178-SCM,Louisville,"Approved JD Request, Kincaid Drive, Fishers, Hamilton County",-86.02128999999998,39.93442,05/10/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1535,1535,3105086.0,5.0,5.25,,"([], '', 0, 0, 0)","([18476323], 'StreamRiver+', 0, nan, 3.858)",18476323,StreamRiver+,0,3.858,[18476323],9.027,9.027,1.0
1535,1535,1535,RAPANOS,LRL-2017-01179-SCM,Louisville,"Approved JD Request, McCord Pointe Site, McCordsville, Hancock County",-85.90451,39.92823,03/26/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1536,1536,160821.0,95.0,4.3,Poorly drained,"([], '', 0, 0, 0)","([18475685, 18475679], 'StreamRiver+StreamRiver+', 2, nan, 4.814)",18475685 18475679,StreamRiver+StreamRiver+,2,4.814,"[18475685, 18475679]",4.5567,7.8606,2.0
1536,1536,1536,RAPANOS,LRL-2017-01180-SCM,Louisville,"Approved JD Request & RGP, King-Collisi Site, Brownsburg, Hendricks County",-86.40510999999998,39.80658,03/15/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1537,1537,161480.0,2.0,5.26,Somewhat poorly drained,"([], '', 0, 0, 0)","([18476465, 18476445], 'StreamRiver+StreamRiver+', 1, nan, 12.536999999999999)",18476465 18476445,StreamRiver+StreamRiver+,1,12.536999999999999,"[18476465, 18476445]",33.501599999999996,191.08800000000002,2.0
1537,1537,1537,RAPANOS,LRL-2017-01199,Louisville,Bonnieville Volunteer Fire Station CDBG Project,-85.90257,37.37759000000001,12/15/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538,1538,2453095.0,0.0,5.02,Moderately well drained,"([], '', 0, 0, 0)","([4000400, 4000370, 4000366, 4000360, 4000512, 4000488, 4000466], 'StreamRiver+StreamRiver+StreamRiver+StreamRiver+StreamRiver+StreamRiver+StreamRiver+', 4, nan, 21.990000000000002)",4000400 4000370 4000366 4000360 4000512 4000488 4000466,StreamRiver+StreamRiver+StreamRiver+StreamRiver+StreamRiver+StreamRiver+StreamRiver+,4,21.990000000000002,"[4000400, 4000370, 4000366, 4000360, 4000512, 4000488, 4000466]",69.8418,516.2454,7.0
1538,1538,1538,RAPANOS,LRL-2017-01203,Louisville,East Broadway Jurisdictional Determination,-85.74693000000002,38.2449,12/20/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539,1539,1536428.0,0.0,0.0,,"([], '', 0, 0, 0)","([10163886], 'StreamRiver+', 1, nan, 11.734)",10163886,StreamRiver+,1,11.734,[10163886],34.0677,66.9402,1.0
1539,1539,1539,RAPANOS,LRL-2017-01207-sjk,Louisville,City of Rushville Cherry Street extension (Des. No. 1400772),-85.44014,39.63022,10/03/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1540,1540,160988.0,5.0,5.24,Well drained,"([], '', 0, 0, 0)","([], '', 0, 0, 0)",,,0,0.0,[],0.0,0.0,0.0
1540,1540,1540,RAPANOS,LRL-2017-01213-LCL,Louisville,Ossian Industrial Park Ditch - nuInventa,-85.17142,40.87154,05/16/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1541,1541,161244.0,3.0,4.49,Somewhat poorly drained,"([18508002], 'LakePond+', 0, 0.009, nan)","([18508336], 'StreamRiver+', 1, nan, 13.87)",18508336,StreamRiver+,1,13.87,[18508336],57.6414,107.8497,1.0
1541,1541,1541,RAPANOS,LRL-2017-01215-sjk,Louisville,"Approved JD - Boden Road site, Hamilton Co",-85.94016000000002,40.00379,07/25/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1542,1542,3186656.0,2.0,5.26,Somewhat poorly drained,"([], '', 0, 0, 0)","([18474873, 18474875, 18475675], 'StreamRiver+StreamRiver+StreamRiver+', 2, nan, 17.075)",18474873 18474875 18475675,StreamRiver+StreamRiver+StreamRiver+,2,17.075,"[18474873, 18474875, 18475675]",42.6393,62.3286,3.0
1542,1542,1542,RAPANOS,LRL-2017-01223,Louisville,Cave City Commerical Development,-85.96974,37.14437,02/07/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1543,1543,2452960.0,0.0,3.25,Well drained,"([], '', 0, 0, 0)","([], '', 0, 0, 0)",,,0,0.0,[],0.0,0.0,0.0
1543,1543,1543,RAPANOS,LRL-2018-00033,Louisville,425 Bypass,-87.63203,37.79653,07/12/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1544,1544,549241.0,0.0,5.48,Moderately well drained,"([], '', 0, 0, 0)","([10157583, 10157593], 'StreamRiver+StreamRiver+', 2, nan, 15.111)",10157583 10157593,StreamRiver+StreamRiver+,2,15.111,"[10157583, 10157593]",37.8927,341.001,2.0
1544,1544,1544,RAPANOS,LRL-2018-00039-sjk,Louisville,Approved JD - Indianapolis Airport Authority - Area 2,-86.30603000000002,39.69549,02/13/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1545,1545,3104676.0,5.0,5.26,Somewhat poorly drained,"([], '', 0, 0, 0)","([], '', 0, 0, 0)",,,0,0.0,[],0.0,0.0,0.0
1545,1545,1545,RAPANOS,LRL-2018-00049-sjk,Louisville,Lindley Run residential development - Olthaf Homes,-86.10481,40.0683,07/17/2018,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1546,1546,3186658.0,95.0,4.3,Poorly drained,"([], '', 0, 0, 0)","([18475245, 18475291], 'StreamRiver+StreamRiver+', 2, nan, 8.676)",18475245 18475291,StreamRiver+StreamRiver+,2,8.676,"[18475245, 18475291]",12.3381,15.378300000000001,2.0
1546,1546,1546,RAPANOS,LRL-2018-00052,Louisville,Vanderburgh County Commissioners Green River Road Phase VI and VII (Des. No. 1702432 and 1400549),-87.49087,38.08,04/20/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1547,1547,162740.0,3.0,5.22,Somewhat poorly drained,"([], '', 0, 0, 0)","([10156897], 'CanalDitch+', 0, nan, 4.655)",10156897,CanalDitch+,0,4.655,[10156897],9.477,18.5625,1.0
1547,1547,1547,RAPANOS,LRL-2018-00057-sjk,Louisville,Klondike Road extension - Town of Plainfield,-86.34077000000002,39.72164,07/03/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1548,1548,3105195.0,3.0,5.34,,"([18476019], 'LakePond+', 1, 0.014, nan)","([], '', 0, 0, 0)",,,0,0.0,[],0.0,0.0,0.0
1548,1548,1548,RAPANOS,LRL-2018-00063-MKD,Louisville,John Rowe Farm,-87.15384,39.15152,04/12/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1549,1549,161566.0,93.0,5.58,Poorly drained,"([18466164, 18466168, 18466162], 'LakePond+LakePond+LakePond+', 0, 0.087, nan)","([18466522], 'CanalDitch+', 0, nan, 8.993)",18466522,CanalDitch+,0,8.993,[18466522],27.666,28.7685,1.0
1549,1549,1549,RAPANOS,LRL-2018-00067-mad,Louisville,Durward Gross WRE,-87.92434,39.22871,02/06/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,1550,1452537.0,4.0,4.53,Somewhat poorly drained,"([], '', 0, 0, 0)","([10337478], 'StreamRiver+', 1, nan, 12.167)",10337478,StreamRiver+,1,12.167,[10337478],30.3534,387.9423,1.0
1550,1550,1550,RAPANOS,LRL-2018-00069,Louisville,INDOT SR 28 road improvements Clinton County (Des. No. 1005600),-86.49771,40.27898,11/28/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1551,1551,162328.0,5.0,5.54,Somewhat poorly drained,"([], '', 0, 0, 0)","([20097891, 20097909, 20097917, 20098023, 20098009, 20097893], 'StreamRiver+StreamRiver+StreamRiver+CanalDitch+StreamRiver+StreamRiver+', 3, nan, 15.729)",20097891 20097909 20097917 20098023 20098009 20097893,StreamRiver+StreamRiver+StreamRiver+CanalDitch+StreamRiver+StreamRiver+,3,15.729,"[20097891, 20097909, 20097917, 20098023, 20098009, 20097893]",32.6988,155.85389999999998,6.0
1551,1551,1551,RAPANOS,LRL-2018-00086-htm,Louisville,JD-Clay Brooks East Development,-86.07746,39.64331,06/21/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1552,1552,164416.0,95.0,5.24,Poorly drained,"([], '', 0, 0, 0)","([18476521, 18476557], 'StreamRiver+StreamRiver+', 2, nan, 9.172)",18476521 18476557,StreamRiver+StreamRiver+,2,9.172,"[18476521, 18476557]",14.7501,18.3294,2.0
1552,1552,1552,RAPANOS,LRL-2018-00089-MKD,Louisville,Stephenson JD,-86.36546,38.5313,05/09/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1553,1553,1442974.0,0.0,5.12,Well drained,"([], '', 0, 0, 0)","([18445372], 'StreamRiver+', 0, nan, 8.507)",18445372,StreamRiver+,0,8.507,[18445372],,,0.0
1553,1553,1553,RAPANOS,LRL-2018-00093-sjk,Louisville,"Approved JD: Parkinson property, West Lafayette",-86.92698,40.48082,08/10/2018,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1554,1554,164392.0,0.0,5.25,Well drained,"([], '', 0, 0, 0)","([10204815], 'StreamRiver+', 0, nan, 1.936)",10204815,StreamRiver+,0,1.936,[10204815],1.4229,5.6907,1.0
1554,1554,1554,RAPANOS,LRL-2018-00094-LCL,Louisville,JD - McDowell Property - KD Investment Group,-86.15116999999998,39.96696,04/17/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1555,1555,3105084.0,40.0,5.5,,"([], '', 0, 0, 0)","([18476327], 'StreamRiver+', 0, nan, 4.978)",18476327,StreamRiver+,0,4.978,[18476327],11.6784,11.6784,1.0
1555,1555,1555,RAPANOS,LRL-2018-00102-SCM,Louisville,"Approved JD Request, Hawthorne Ridge Site, north of 161st & Carvey Road Property, Noblesville, Hamilton County",-86.11089,40.02472,04/25/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1556,1556,3186656.0,2.0,5.26,Somewhat poorly drained,"([], '', 0, 0, 0)","([18475355, 18475351], 'StreamRiver+StreamRiver+', 1, nan, 7.6499999999999995)",18475355 18475351,StreamRiver+StreamRiver+,1,7.6499999999999995,"[18475355, 18475351]",,,1.0
1556,1556,1556,RAPANOS,LRL-2018-00107-LCL,Louisville,Westpoint Business Park - Raindrop LLC,-86.46827999999998,39.62416,10/04/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1557,1557,161480.0,2.0,5.26,Somewhat poorly drained,"([], '', 0, 0, 0)","([18476579], 'StreamRiver+', 0, nan, 6.205)",18476579,StreamRiver+,0,6.205,[18476579],27.1089,27.1089,1.0
