jurisdiction_type,da_number,district,project_name,longitude,latitude,date_issued_or_denied,rha_determination,cwa_determination,rha1,rha2,cwa1,cwa2,cwa3,cwa4,cwa5,cwa6,cwa7,cwa8,cwa9,potential_wetland,index
RAPANOS,LRB-2015-00728,Buffalo,"Geneva-on-the Lake, Village of - Wastewater Treatment Plant Improvements",-80.96417,41.85606,11/13/2015,0,1,0,0,0,0,1,0,1,0,0,0,0,0,89
RAPANOS,LRB-2015-00750,Buffalo,"Goodrich, William & Rhonda",-77.15616999999999,42.50423,10/30/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90
RAPANOS,LRB-2015-00789,Buffalo,"Pioneer, Village of",-84.54607,41.68553,06/17/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91
CWR,LRB-2015-00830,Buffalo,Superior Plus Energy Services,-78.01719,42.92696,09/28/2015,0,1,0,0,0,0,1,0,1,0,0,0,0,1,92
RAPANOS,LRB-2015-00834,Buffalo,Bella Casa Builders by Alberici - Collington East,-76.29515000000002,43.156079999999996,11/23/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93
RAPANOS,LRB-2015-00838,Buffalo,"Christakos, Patricia",-75.86424,42.949040000000004,01/11/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,94
RAPANOS,LRB-2015-00839,Buffalo,"Wehrheim, Philip",-77.31528,42.78071,01/15/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,95
RAPANOS,LRB-2015-00847,Buffalo,JEA Development - Transit Road,-78.69795999999998,43.008720000000004,11/06/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96
RAPANOS,LRB-2015-00865,Buffalo,"Borgers Ohio, Inc.",-82.60109,41.26663,12/15/2015,0,1,0,0,0,0,0,0,0,0,0,0,0,1,97
RAPANOS,LRB-2015-00873,Buffalo,"Owens, Larry",-77.15945000000002,42.46758,10/29/2015,0,1,0,0,1,0,0,0,0,0,0,0,0,0,98
RAPANOS,LRB-2015-00882,Buffalo,"Pomeroy, James K",-78.18554,42.38407,12/16/2015,0,1,0,0,0,0,0,0,0,0,0,0,0,1,99
RAPANOS,LRB-2015-00883,Buffalo,"Grimes Carlson, David & Karen",-78.18558,42.38395,12/16/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,100
RAPANOS,LRB-2015-00884,Buffalo,"Freundschuh, Sara Lynn",-78.18562,42.38391,01/11/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,101
RAPANOS,LRB-2015-00900,Buffalo,Trumbull County Engineer-CH. 1198F Geauga Portage Easterly Rd. Culvert Replacement,-80.91018000000001,41.348240000000004,11/23/2015,1,1,0,0,0,0,1,0,0,0,0,0,0,0,102
RAPANOS,LRB-2015-00928,Buffalo,"Mack, Bruce",-78.86976999999999,42.720009999999995,12/14/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103
RAPANOS,LRB-2015-00931,Buffalo,Benderson Development Company - Haas Farm,-78.73978000000001,42.79437,08/10/2016,0,1,0,0,0,0,1,0,1,1,0,0,0,1,104
RAPANOS,LRB-2015-00935,Buffalo,"Rajendra, Ajita",-77.19938000000002,42.42592,10/30/2015,0,1,0,0,1,0,0,0,0,0,0,0,0,0,105
RAPANOS,LRB-2015-00941,Buffalo,NEORSD- Kerruish Park basin maintenance,-81.55408,41.4259,01/06/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106
RAPANOS,LRB-2015-00960,Buffalo,"Moul, Douglas E. & Beckner, Marie E.",-81.40242000000002,41.60048,03/02/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,107
RAPANOS,LRB-2015-00962,Buffalo,"Trilogy Health Services, LLC - Trilogy Villas-Willard",-82.71011,41.03501,12/14/2015,1,0,1,1,0,0,0,0,0,0,0,0,0,1,108
RAPANOS,LRB-2015-00978,Buffalo,"Hawthorn of Aurora, LLC - Commercial",-81.36636999999999,41.33494,08/26/2016,0,1,0,0,0,0,1,0,1,1,0,0,0,1,109
RAPANOS,LRB-2015-01037,Buffalo,"Harlem Buffalo, LLC",-78.78515,42.90237,12/22/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110
RAPANOS,LRB-2015-01054,Buffalo,TMMC Ohio LLC (Formerly:  Isomer Group Inc.) ,-81.68356,41.31231,07/05/2016,0,1,0,0,0,0,0,0,0,1,0,0,0,0,111
RAPANOS,LRB-2015-01058,Buffalo,"Venciguerra, Mark",-77.70881,42.72733,11/25/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,112
RAPANOS,LRB-2015-01076,Buffalo,Richard E Jacobs Group - Chester Road Entertainment Center (Main Event),-82.00982999999998,41.466229999999996,10/11/2016,0,1,0,0,0,0,1,0,0,1,0,0,0,0,113
RAPANOS,LRB-2015-01117,Buffalo,Venture Properties Group,-78.96601,42.70817,11/24/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114
RAPANOS,LRB-2015-01127,Buffalo,"Dworkin, Wendy",-77.25596,42.85549,11/20/2015,0,1,0,0,1,0,0,0,0,0,0,0,0,0,115
RAPANOS,LRB-2015-01132,Buffalo,Wayne County DPW - Vienna Road,-77.19192,43.050709999999995,11/09/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,1,116
RAPANOS,LRB-2015-01133,Buffalo,"Harrison, Susan",-76.29698,42.88579,12/18/2015,0,1,0,0,1,0,0,0,0,0,0,0,0,0,117
RAPANOS,LRB-2015-01141,Buffalo,"Boldt Capital, LLC",-81.33101000000002,41.69343,01/26/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
RAPANOS,LRB-2015-01161,Buffalo,"Summit Outlet, L.P.",-78.93488000000002,43.08636,03/15/2016,0,1,0,0,0,0,0,0,0,1,0,0,0,1,119
RAPANOS,LRB-2015-01162,Buffalo,"Bult Woodbine Real Estate, LLC",-76.06711,43.10625,01/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120
RAPANOS,LRB-2015-01169,Buffalo,Best Brothers Development - South Park Avenue,-78.8249,42.76659,11/16/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121
RAPANOS,LRB-2015-01182,Buffalo,"Naylor, Douglas",-75.96191,43.7692,12/16/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,122
RAPANOS,LRB-2015-01186,Buffalo,"McIntosh Farms Development Group, LLC (formerly Orchard Trails Development Group)",-82.06356,41.441109999999995,02/17/2017,0,1,0,0,0,0,1,0,1,1,0,0,0,1,123
RAPANOS,LRB-2015-01187,Buffalo,Hancock County Engineer's Office,-83.63253,41.04182,04/06/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,124
RAPANOS,LRB-2015-01188,Buffalo,"McComb, Village of- wastewater treatment plant",-83.79465,41.11339,01/30/2017,0,1,0,0,0,0,1,0,0,0,0,0,0,1,125
RAPANOS,LRB-2015-01217,Buffalo,"Sandusky, City of - Sports Force Parks at Cedar Point Sports Center",-82.65285,41.43318,02/17/2016,1,1,0,1,1,1,0,0,0,0,0,0,0,1,126
RAPANOS,LRB-2015-01224,Buffalo,East Ohio Gas Company - Kibby Street Bridge Replacement,-84.07737,40.73008,11/23/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,127
RAPANOS,LRB-2015-01225,Buffalo,Three J's LLC - Hillsborough Point Development (formerly Citi Roc Real Estate Company),-81.96563999999998,41.42181,03/25/2016,0,1,0,0,0,0,0,0,0,1,0,0,0,0,128
RAPANOS,LRB-2015-01231,Buffalo,"Toledo, City of - ES-3 International Park CSO Storage Basin and Pipeline",-83.53201,41.6396,01/11/2016,0,1,0,0,0,0,0,0,0,0,0,0,0,1,129
RAPANOS,LRB-2015-01241,Buffalo,"Pieczorka, Thomas",-78.47548999999998,42.431259999999995,12/14/2015,0,1,0,0,0,0,1,0,0,0,0,0,0,1,130
RAPANOS,LRB-2015-01242,Buffalo,Monroe County DOT - Wheatland Center Road,-77.81382000000002,43.05332,02/01/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,131
RAPANOS,LRB-2015-01254,Buffalo,"Cambria, Town of - Comstock Road",-78.78878,43.15464,03/08/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,132
RAPANOS,LRB-2015-01260,Buffalo,"Bay Village, City of-Bay Village Sewer Exposure",-81.93902,41.48622,02/12/2016,0,1,0,0,0,0,1,0,1,0,0,0,0,0,133
RAPANOS,LRB-2015-01271,Buffalo,E&K Estates LLC,-79.03341,42.65213,03/29/2016,0,1,0,0,0,0,0,0,0,1,0,0,0,1,134
RAPANOS,LRB-2015-01290,Buffalo,BLW Properties LLC,-81.36469,41.337959999999995,07/15/2016,0,1,0,0,0,0,1,1,1,0,1,0,0,0,135
RAPANOS,LRB-2015-01320,Buffalo,"Lawson Jr., Richard L.",-77.08602999999998,42.886720000000004,03/18/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,136
RAPANOS,LRB-2015-01338,Buffalo,Tompkins County Highway Division - Cemetery Lane Bridge,-76.30021000000002,42.5566,01/27/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,137
RAPANOS,LRB-2015-01344,Buffalo,"Winston, Dean",-78.03225,42.68314,03/22/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,138
RAPANOS,LRB-2015-01357,Buffalo,"Silverman, Steve and Wendy",-77.26457000000002,42.801429999999996,01/28/2016,0,1,0,0,1,0,0,0,0,0,0,0,0,0,139
RAPANOS,LRB-2015-01367,Buffalo,"Joseph, Daniel",-77.36462,42.69379,02/17/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,140
RAPANOS,LRB-2016-00021,Buffalo,Hamburg Development Group,-78.78191,42.73637,10/04/2017,0,1,0,0,0,0,0,0,0,0,0,1,0,1,141
RAPANOS,LRB-2016-00037,Buffalo,"Rogerson, Joan T.",-77.21746,42.41254,03/11/2016,0,1,0,0,0,0,1,1,1,1,1,0,0,0,142
RAPANOS,LRB-2016-00057,Buffalo,USFWS Ottawa National Refuge,-83.19580000000002,41.62353,04/11/2016,1,1,0,1,0,1,1,0,0,0,0,1,0,0,143
RAPANOS,LRB-2016-00071,Buffalo,Hancock Park District- Liberty Landing Canoe Launch,-83.69389,41.05672,04/22/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,144
RAPANOS,LRB-2016-00072,Buffalo,Hancock Park District- Blanchard Landing Canoe Launch,-83.78836,41.04593,04/22/2016,0,1,0,0,0,0,1,0,0,0,0,0,0,1,145
