,img_res,img_type,img_index,da_num,img_path,da_number,cwa_determination,metrics,mean,stdev,min,max,num_nans,district_code
25,lores,RGB,294,SAC-2017-00833,/data/rgb_raw1/Sample_Set_89_lores_RGB_294_SAC-2017-00833_RGB_lores.tif,SAC-2017-00833,1,"(317.6091054280599, 344.96374946053606, 0, 7964, 0)",317.6091054280599,344.96374946053606,0,7964,0,SAC
26,hires,RGB,13,SAC-2018-01850,/data/rgb_raw1/Sample_Set_12345_hires_RGB_13_SAC-2018-01850_RGB_hires.tif,SAC-2018-01850,0,"(423.0174814860026, 264.82852328128826, 11, 2798, 0)",423.0174814860026,264.82852328128826,11,2798,0,SAC
27,hires,RGB,1012,SAW-2017-01172,/data/rgb_raw1/Sample_Set_12345_hires_RGB_1012_SAW-2017-01172_RGB_hires.tif,SAW-2017-01172,1,"(479.9385274251302, 328.2459605684256, 22, 5332, 0)",479.9385274251302,328.2459605684256,22,5332,0,SAW
28,hires,RGB,138,SAW-2018-01096,/data/rgb_raw1/Sample_Set_89_hires_RGB_138_SAW-2018-01096_RGB_hires.tif,SAW-2018-01096,0,"(713.1007181803385, 715.0087118390021, 0, 4232, 0)",713.1007181803385,715.0087118390021,0,4232,0,SAW
29,hires,RGB,1451,SAW-2010-01622,/data/rgb_raw1/Sample_Set_12345_hires_RGB_1451_SAW-2010-01622_RGB_hires.tif,SAW-2010-01622,1,"(429.0003967285156, 382.5490100717261, 12, 7320, 0)",429.0003967285156,382.5490100717261,12,7320,0,SAW
30,lores,RGB,532,SAW-2015-02566,/data/rgb_raw1/Sample_Set_12345_lores_RGB_532_SAW-2015-02566_RGB_lores.tif,SAW-2015-02566,1,"(302.0726623535156, 206.24193797307584, 0, 4468, 0)",302.0726623535156,206.24193797307584,0,4468,0,SAW
31,hires,RGB,2628,SAC-2014-01393-4S,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2628_SAC-2014-01393-4S_RGB_hires.tif,SAC-2014-01393-4S,0,"(676.6600240071615, 511.9557283221515, 1, 15264, 0)",676.6600240071615,511.9557283221515,1,15264,0,SAC
32,lores,RGB,204,SAW-2018-01854,/data/rgb_raw1/Sample_Set_89_lores_RGB_204_SAW-2018-01854_RGB_lores.tif,SAW-2018-01854,1,"(400.5815938313802, 230.97785721457427, 9, 7022, 0)",400.5815938313802,230.97785721457427,9,7022,0,SAW
33,lores,RGB,952,SAC-2015-01448,/data/rgb_raw1/Sample_Set_12345_lores_RGB_952_SAC-2015-01448_RGB_lores.tif,SAC-2015-01448,0,"(555.2118784586588, 198.4338692660571, 0, 3816, 0)",555.2118784586588,198.4338692660571,0,3816,0,SAC
34,lores,RGB,2490,SAW-2016-01453,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2490_SAW-2016-01453_RGB_lores.tif,SAW-2016-01453,1,"(466.6083017985026, 356.7505006699219, 2, 8217, 0)",466.6083017985026,356.7505006699219,2,8217,0,SAW
35,hires,RGB,678,SAC-2018-01264,/data/rgb_raw1/Sample_Set_12345_hires_RGB_678_SAC-2018-01264_RGB_hires.tif,SAC-2018-01264,0,"(475.1105651855469, 470.6488337602886, 1, 8656, 0)",475.1105651855469,470.6488337602886,1,8656,0,SAC
36,hires,RGB,1011,SAC-2015-01179,/data/rgb_raw1/Sample_Set_12345_hires_RGB_1011_SAC-2015-01179_RGB_hires.tif,SAC-2015-01179,1,"(763.6847127278646, 741.3056463220719, 27, 8216, 0)",763.6847127278646,741.3056463220719,27,8216,0,SAC
37,lores,RGB,2676,SAC-2011-01366,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2676_SAC-2011-01366_RGB_lores.tif,SAC-2011-01366,1,"(684.0639953613281, 359.2974473104007, 137, 7040, 0)",684.0639953613281,359.2974473104007,137,7040,0,SAC
38,hires,RGB,364,SAC-2015-00710,/data/rgb_raw1/Sample_Set_12345_hires_RGB_364_SAC-2015-00710_RGB_hires.tif,SAC-2015-00710,0,"(503.2776794433594, 568.3693917733465, 32, 7276, 0)",503.2776794433594,568.3693917733465,32,7276,0,SAC
39,lores,RGB,151,SAC-2020-00545,/data/rgb_raw1/Sample_Set_12345_lores_RGB_151_SAC-2020-00545_RGB_lores.tif,SAC-2020-00545,0,"(401.4609832763672, 428.9165634237329, 0, 7688, 0)",401.4609832763672,428.9165634237329,0,7688,0,SAC
40,lores,RGB,452,SAW-2019-00543,/data/rgb_raw1/Sample_Set_89_lores_RGB_452_SAW-2019-00543_RGB_lores.tif,SAW-2019-00543,0,"(267.5743357340495, 333.2965436921084, 0, 2069, 0)",267.5743357340495,333.2965436921084,0,2069,0,SAW
41,lores,RGB,2349,SAC-2017-00814,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2349_SAC-2017-00814_RGB_lores.tif,SAC-2017-00814,1,"(499.6211903889974, 369.4940509404754, 0, 6877, 0)",499.6211903889974,369.4940509404754,0,6877,0,SAC
42,lores,RGB,393,SAC-2015-01674,/data/rgb_raw1/Sample_Set_12345_lores_RGB_393_SAC-2015-01674_RGB_lores.tif,SAC-2015-01674,1,"(417.883794148763, 388.60070603159716, 48, 8368, 0)",417.883794148763,388.60070603159716,48,8368,0,SAC
43,hires,RGB,418,SAW-2016-01187,/data/rgb_raw1/Sample_Set_89_hires_RGB_418_SAW-2016-01187_RGB_hires.tif,SAW-2016-01187,0,"(691.1371256510416, 448.5758062042652, 50, 6976, 0)",691.1371256510416,448.5758062042652,50,6976,0,SAW
44,lores,RGB,342,SAW-2018-00852,/data/rgb_raw1/Sample_Set_89_lores_RGB_342_SAW-2018-00852_RGB_lores.tif,SAW-2018-00852,0,"(470.316650390625, 359.00454583376444, 10, 7836, 0)",470.316650390625,359.00454583376444,10,7836,0,SAW
45,hires,RGB,2792,SAC-2019-00517,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2792_SAC-2019-00517_RGB_hires.tif,SAC-2019-00517,0,"(485.37921142578125, 344.40436652788895, 2, 7564, 0)",485.37921142578125,344.40436652788895,2,7564,0,SAC
46,lores,RGB,328,SAC-2019-00592,/data/rgb_raw1/Sample_Set_12345_lores_RGB_328_SAC-2019-00592_RGB_lores.tif,SAC-2019-00592,0,"(368.1213633219401, 293.03744532419506, 0, 10277, 0)",368.1213633219401,293.03744532419506,0,10277,0,SAC
47,lores,RGB,494,SAW-2018-00223,/data/rgb_raw1/Sample_Set_89_lores_RGB_494_SAW-2018-00223_RGB_lores.tif,SAW-2018-00223,0,"(310.4907684326172, 422.76134643875343, 0, 4404, 0)",310.4907684326172,422.76134643875343,0,4404,0,SAW
48,lores,RGB,2791,SAC-2018-00632,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2791_SAC-2018-00632_RGB_lores.tif,SAC-2018-00632,1,"(317.09046936035156, 211.85471125259136, 23, 5816, 0)",317.09046936035156,211.85471125259136,23,5816,0,SAC
49,lores,RGB,1286,SAC-2017-00491,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1286_SAC-2017-00491_RGB_lores.tif,SAC-2017-00491,1,"(416.58603922526044, 304.7052094592956, 0, 6999, 0)",416.58603922526044,304.7052094592956,0,6999,0,SAC
50,hires,RGB,2630,SAC-2015-00118,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2630_SAC-2015-00118_RGB_hires.tif,SAC-2015-00118,1,"(395.2249247233073, 358.04174464253686, 1, 6924, 0)",395.2249247233073,358.04174464253686,1,6924,0,SAC
51,lores,RGB,1743,SAW-2017-02145,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1743_SAW-2017-02145_RGB_lores.tif,SAW-2017-02145,1,"(245.3147176106771, 361.11483853192215, 0, 10826, 0)",245.3147176106771,361.11483853192215,0,10826,0,SAW
52,hires,RGB,168,SAW-2017-01319,/data/rgb_raw1/Sample_Set_89_hires_RGB_168_SAW-2017-01319_RGB_hires.tif,SAW-2017-01319,0,"(345.0537109375, 269.928925781612, 0, 2842, 0)",345.0537109375,269.928925781612,0,2842,0,SAW
53,hires,RGB,1673,SAC-2018-00692,/data/rgb_raw1/Sample_Set_12345_hires_RGB_1673_SAC-2018-00692_RGB_hires.tif,SAC-2018-00692,0,"(664.1619110107422, 512.3309900741257, 1, 15264, 0)",664.1619110107422,512.3309900741257,1,15264,0,SAC
54,lores,RGB,149,SAW-2018-00460,/data/rgb_raw1/Sample_Set_89_lores_RGB_149_SAW-2018-00460_RGB_lores.tif,SAW-2018-00460,0,"(521.1519622802734, 405.2718365858373, 0, 6554, 0)",521.1519622802734,405.2718365858373,0,6554,0,SAW
55,hires,RGB,865,SAC-2016-01493,/data/rgb_raw1/Sample_Set_12345_hires_RGB_865_SAC-2016-01493_RGB_hires.tif,SAC-2016-01493,1,"(549.7043762207031, 431.05834932835853, 167, 5296, 0)",549.7043762207031,431.05834932835853,167,5296,0,SAC
56,lores,RGB,307,SAW-2019-01570,/data/rgb_raw1/Sample_Set_89_lores_RGB_307_SAW-2019-01570_RGB_lores.tif,SAW-2019-01570,0,"(525.5456949869791, 536.9777763095481, 0, 7847, 0)",525.5456949869791,536.9777763095481,0,7847,0,SAW
57,lores,RGB,85,SAW-2018-00076,/data/rgb_raw1/Sample_Set_12345_lores_RGB_85_SAW-2018-00076_RGB_lores.tif,SAW-2018-00076,1,"(530.3258565266927, 401.9752217190977, 0, 7747, 0)",530.3258565266927,401.9752217190977,0,7747,0,SAW
58,lores,RGB,1777,SAW-2016-00222,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1777_SAW-2016-00222_RGB_lores.tif,SAW-2016-00222,1,"(418.3965301513672, 272.1501286996449, 37, 5296, 0)",418.3965301513672,272.1501286996449,37,5296,0,SAW
59,hires,RGB,549,SAC-2019-01068,/data/rgb_raw1/Sample_Set_12345_hires_RGB_549_SAC-2019-01068_RGB_hires.tif,SAC-2019-01068,0,"(517.2459462483724, 439.85640822027733, 1, 6696, 0)",517.2459462483724,439.85640822027733,1,6696,0,SAC
60,lores,RGB,2115,SAC-2012-00704,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2115_SAC-2012-00704_RGB_lores.tif,SAC-2012-00704,1,"(388.3600769042969, 414.5846274813992, 55, 8478, 0)",388.3600769042969,414.5846274813992,55,8478,0,SAC
61,lores,RGB,438,SAW-2017-01623,/data/rgb_raw1/Sample_Set_12345_lores_RGB_438_SAW-2017-01623_RGB_lores.tif,SAW-2017-01623,1,"(498.9374643961589, 379.8763318864311, 16, 6700, 0)",498.9374643961589,379.8763318864311,16,6700,0,SAW
62,lores,RGB,1909,SAW-2016-00306,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1909_SAW-2016-00306_RGB_lores.tif,SAW-2016-00306,1,"(553.7552032470703, 264.19748548414765, 104, 7005, 0)",553.7552032470703,264.19748548414765,104,7005,0,SAW
63,lores,RGB,507,SAC-2018-00828,/data/rgb_raw1/Sample_Set_12345_lores_RGB_507_SAC-2018-00828_RGB_lores.tif,SAC-2018-00828,0,"(706.7990366617838, 414.8217358625685, 0, 4364, 0)",706.7990366617838,414.8217358625685,0,4364,0,SAC
64,hires,RGB,2516,SAC-2018-00121,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2516_SAC-2018-00121_RGB_hires.tif,SAC-2018-00121,1,"(558.0416463216146, 346.41356644028093, 57, 5400, 0)",558.0416463216146,346.41356644028093,57,5400,0,SAC
65,hires,RGB,2123,SAC-2014-01427,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2123_SAC-2014-01427_RGB_hires.tif,SAC-2014-01427,1,"(709.5350850423177, 386.03564173924497, 157, 6636, 0)",709.5350850423177,386.03564173924497,157,6636,0,SAC
66,hires,RGB,2713,SAC-2019-01937,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2713_SAC-2019-01937_RGB_hires.tif,SAC-2019-01937,1,"(509.90843200683594, 248.39756806249832, 87, 2802, 0)",509.90843200683594,248.39756806249832,87,2802,0,SAC
67,lores,RGB,2006,SAC-2016-01016,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2006_SAC-2016-01016_RGB_lores.tif,SAC-2016-01016,1,"(362.4283803304036, 242.87466081982342, 22, 5152, 0)",362.4283803304036,242.87466081982342,22,5152,0,SAC
68,lores,RGB,1912,SAC-2017-01719,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1912_SAC-2017-01719_RGB_lores.tif,SAC-2017-01719,0,"(586.6415863037109, 381.18945006883484, 0, 7161, 0)",586.6415863037109,381.18945006883484,0,7161,0,SAC
69,hires,RGB,2040,SAC-1997-37559,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2040_SAC-1997-37559_RGB_hires.tif,SAC-1997-37559,1,"(449.8756866455078, 662.9444828740449, 21, 8928, 0)",449.8756866455078,662.9444828740449,21,8928,0,SAC
70,hires,RGB,2254,SAC-2017-01957,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2254_SAC-2017-01957_RGB_hires.tif,SAC-2017-01957,1,"(430.344233194987, 294.2325106664058, 1, 2806, 0)",430.344233194987,294.2325106664058,1,2806,0,SAC
71,hires,RGB,316,SAW-2017-01639,/data/rgb_raw1/Sample_Set_89_hires_RGB_316_SAW-2017-01639_RGB_hires.tif,SAW-2017-01639,0,"(723.4016774495443, 727.9591384267865, 15, 8128, 0)",723.4016774495443,727.9591384267865,15,8128,0,SAW
72,lores,RGB,1296,SAW-2015-02306,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1296_SAW-2015-02306_RGB_lores.tif,SAW-2015-02306,1,"(575.1407012939453, 222.01517577644393, 0, 7057, 0)",575.1407012939453,222.01517577644393,0,7057,0,SAW
73,lores,RGB,16,SAC-2019-00600,/data/rgb_raw1/Sample_Set_12345_lores_RGB_16_SAC-2019-00600_RGB_lores.tif,SAC-2019-00600,0,"(389.65911356608075, 226.82513892540797, 56, 6441, 0)",389.65911356608075,226.82513892540797,56,6441,0,SAC
74,lores,RGB,2742,SAW-2007-00526,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2742_SAW-2007-00526_RGB_lores.tif,SAW-2007-00526,1,"(330.4063262939453, 294.7753830162034, 0, 5358, 0)",330.4063262939453,294.7753830162034,0,5358,0,SAW
75,hires,RGB,314,SAW-2016-00161,/data/rgb_raw1/Sample_Set_12345_hires_RGB_314_SAW-2016-00161_RGB_hires.tif,SAW-2016-00161,1,"(720.3309733072916, 729.2694192258429, 55, 7760, 0)",720.3309733072916,729.2694192258429,55,7760,0,SAW
76,hires,RGB,349,SAC-2017-01729,/data/rgb_raw1/Sample_Set_12345_hires_RGB_349_SAC-2017-01729_RGB_hires.tif,SAC-2017-01729,0,"(605.7512969970703, 849.0793430086048, 1, 7900, 0)",605.7512969970703,849.0793430086048,1,7900,0,SAC
77,hires,RGB,291,SAC-2018-00949,/data/rgb_raw1/Sample_Set_12345_hires_RGB_291_SAC-2018-00949_RGB_hires.tif,SAC-2018-00949,1,"(297.894770304362, 167.226949807795, 23, 2508, 0)",297.894770304362,167.226949807795,23,2508,0,SAC
78,lores,RGB,1032,SAW-2006-00601,/data/rgb_raw1/Sample_Set_12345_lores_RGB_1032_SAW-2006-00601_RGB_lores.tif,SAW-2006-00601,0,"(558.0242156982422, 383.7854132944422, 16, 6700, 0)",558.0242156982422,383.7854132944422,16,6700,0,SAW
79,hires,RGB,1102,SAC-2016-00745,/data/rgb_raw1/Sample_Set_12345_hires_RGB_1102_SAC-2016-00745_RGB_hires.tif,SAC-2016-00745,0,"(851.9321238199869, 872.8547024853327, 13, 8072, 0)",851.9321238199869,872.8547024853327,13,8072,0,SAC
80,lores,RGB,166,SAC-2016-01549,/data/rgb_raw1/Sample_Set_12345_lores_RGB_166_SAC-2016-01549_RGB_lores.tif,SAC-2016-01549,0,"(309.6400655110677, 164.8735294252505, 15, 3189, 0)",309.6400655110677,164.8735294252505,15,3189,0,SAC
81,lores,RGB,2326,SAC-2018-00764,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2326_SAC-2018-00764_RGB_lores.tif,SAC-2018-00764,0,"(682.5761159261068, 365.0423000745743, 137, 7028, 0)",682.5761159261068,365.0423000745743,137,7028,0,SAC
82,hires,RGB,2715,SAW-2015-02394,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2715_SAW-2015-02394_RGB_hires.tif,SAW-2015-02394,1,"(492.473393758138, 319.0843542199217, 36, 3538, 0)",492.473393758138,319.0843542199217,36,3538,0,SAW
83,lores,RGB,129,SAC-2016-00675,/data/rgb_raw1/Sample_Set_89_lores_RGB_129_SAC-2016-00675_RGB_lores.tif,SAC-2016-00675,1,"(478.3981170654297, 341.12507248759323, 81, 7112, 0)",478.3981170654297,341.12507248759323,81,7112,0,SAC
84,lores,RGB,2196,SAC-2017-00445,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2196_SAC-2017-00445_RGB_lores.tif,SAC-2017-00445,0,"(310.6145426432292, 318.4088367643218, 0, 8598, 0)",310.6145426432292,318.4088367643218,0,8598,0,SAC
85,hires,RGB,17,SAW-2017-01192-SAW,/data/rgb_raw1/Sample_Set_89_hires_RGB_17_SAW-2017-01192-SAW_RGB_hires.tif,SAW-2017-01192-SAW,0,"(492.4274444580078, 288.4923593885172, 90, 3598, 0)",492.4274444580078,288.4923593885172,90,3598,0,SAW
86,lores,RGB,779,SAW-2015-01041,/data/rgb_raw1/Sample_Set_12345_lores_RGB_779_SAW-2015-01041_RGB_lores.tif,SAW-2015-01041,1,"(429.8848927815755, 401.2593911408452, 0, 7618, 0)",429.8848927815755,401.2593911408452,0,7618,0,SAW
87,lores,RGB,2524,SAC-2018-01457,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2524_SAC-2018-01457_RGB_lores.tif,SAC-2018-01457,0,"(568.54541015625, 421.93984055495025, 121, 7225, 0)",568.54541015625,421.93984055495025,121,7225,0,SAC
88,hires,RGB,1980,SAC-2017-01628,/data/rgb_raw1/Sample_Set_12345_hires_RGB_1980_SAC-2017-01628_RGB_hires.tif,SAC-2017-01628,1,"(418.3936716715495, 439.30442261418773, 1, 6348, 0)",418.3936716715495,439.30442261418773,1,6348,0,SAC
89,lores,RGB,389,SAC-2017-00524,/data/rgb_raw1/Sample_Set_12345_lores_RGB_389_SAC-2017-00524_RGB_lores.tif,SAC-2017-00524,1,"(431.1962127685547, 452.65714410663935, 38, 8478, 0)",431.1962127685547,452.65714410663935,38,8478,0,SAC
90,lores,RGB,2359,SAC-2016-01246,/data/rgb_raw1/Sample_Set_12345_lores_RGB_2359_SAC-2016-01246_RGB_lores.tif,SAC-2016-01246,0,"(293.39104715983075, 286.82409794476945, 0, 6660, 0)",293.39104715983075,286.82409794476945,0,6660,0,SAC
91,hires,RGB,1126,SAW-2015-01042,/data/rgb_raw1/Sample_Set_12345_hires_RGB_1126_SAW-2015-01042_RGB_hires.tif,SAW-2015-01042,1,"(528.1156667073568, 394.9619546241151, 1, 10936, 0)",528.1156667073568,394.9619546241151,1,10936,0,SAW
92,hires,RGB,2518,SAC-2018-01269,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2518_SAC-2018-01269_RGB_hires.tif,SAC-2018-01269,1,"(846.3201853434244, 772.8897261665104, 108, 8712, 0)",846.3201853434244,772.8897261665104,108,8712,0,SAC
93,hires,RGB,2293,SAC-2019-00692,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2293_SAC-2019-00692_RGB_hires.tif,SAC-2019-00692,0,"(702.6759999593099, 474.3710817459097, 7, 7324, 0)",702.6759999593099,474.3710817459097,7,7324,0,SAC
94,lores,RGB,205,SAW-2014-00788,/data/rgb_raw1/Sample_Set_12345_lores_RGB_205_SAW-2014-00788_RGB_lores.tif,SAW-2014-00788,1,"(527.3464711507162, 337.63344419626134, 42, 7842, 0)",527.3464711507162,337.63344419626134,42,7842,0,SAW
95,hires,RGB,2001,SAC-2020-00141,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2001_SAC-2020-00141_RGB_hires.tif,SAC-2020-00141,0,"(376.9694569905599, 362.4159934285911, 11, 4776, 0)",376.9694569905599,362.4159934285911,11,4776,0,SAC
96,hires,RGB,2143,SAC-2020-00069,/data/rgb_raw1/Sample_Set_12345_hires_RGB_2143_SAC-2020-00069_RGB_hires.tif,SAC-2020-00069,0,"(663.0451914469401, 537.1639289126095, 40, 6896, 0)",663.0451914469401,537.1639289126095,40,6896,0,SAC
97,hires,RGB,1521,SAW-2016-00322,/data/rgb_raw1/Sample_Set_12345_hires_RGB_1521_SAW-2016-00322_RGB_hires.tif,SAW-2016-00322,1,"(532.4247996012369, 628.5206732440553, 25, 7716, 0)",532.4247996012369,628.5206732440553,25,7716,0,SAW
